Name,Creator,DJ,Host,Staff,VIP,Menu,Stage,Duck,Backstage,Camera
AliceD,True,True,True,True,True,True,True,True,True,True
'Saya',True,True,True,True,True,True,True,True,True,False
100chilly,False,False,False,False,False,False,True,False,False,False
MCItech,False,False,False,True,True,True,False,True,False,False
MissStabby,False,False,False,False,True,True,True,False,False,False
࿇༒Ira༒࿇,False,False,False,False,False,False,False,False,False,False
Yisuna,False,False,False,False,True,True,True,False,False,False
YÆRU,False,False,False,False,True,True,False,False,False,False
Thelvaen,False,False,False,False,True,True,False,False,False,False
z3y,False,False,False,False,True,True,False,True,False,False
techanon,False,False,False,False,True,True,False,True,False,False
_pi_,False,False,False,False,True,True,False,True,False,False
MyroP,False,False,False,False,True,True,False,True,False,False
DarknessofDark,False,False,False,False,False,False,False,False,False,False
Zivaniafezt,False,False,False,True,True,True,True,True,True,False
Advanced Derp,False,False,False,True,True,True,False,True,False,False
Usеr,False,False,False,False,False,False,False,True,False,False
~Taco~,False,False,False,False,False,True,False,True,False,False
Vazaroshi,False,False,False,False,True,True,False,True,False,False
N8-Core,False,True,False,True,True,True,True,True,True,False
Blake Blair,False,False,False,False,False,False,False,False,False,False
ElegantPsyD,False,False,False,False,True,True,False,True,False,False
iffn,False,False,False,False,True,True,False,True,False,False
Figbean,False,False,False,False,True,True,False,True,False,False
MKKelvinHK,False,False,False,True,True,True,False,True,False,False
Mattchu․,False,False,False,True,True,True,False,True,False,False
Nez®,False,False,False,False,False,True,False,True,False,False
QuinnyGaming,False,False,False,False,True,True,False,True,False,False
Cinnamon Loop,False,False,False,True,True,True,True,True,True,False
xkmerlz,False,True,False,False,True,True,True,True,True,False
MK Sami,False,True,False,False,True,True,True,True,True,False
Endø,False,True,False,False,True,True,True,True,True,False
Myuu-,False,False,False,True,True,True,False,True,False,False
